"","R","m","cov","seasonality","nparams","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"154","UNC",2,"none","fixed_factors",635,10247.6974893586,21765.3949787171,0.0703486720957558,0.188908445655738,0.670329842983955,29,1,0,"0 ","PctIce2011Ws,WsAreaSqKm,ElevWs,RdDensWsRp100,WtDepWs,RckDepWs","OmWs,WtDepWs,PctIce2011Ws,ElevWs,PctAlluvCoastWs,BFIWs",NA,NA,"0.524966674746297,0.448289007236355,0.42930526331933,-0.297636715975295,0.27942369824607,-0.271626586364407","0.592599512004375,-0.485954498876229,-0.439616782156801,-0.266570500599513,0.265343442252083,-0.232924820294392",NA,NA,NA,NA,NA,NA
"155","UNC",2,"at","fourier",419,10481.0430143536,21800.0860287072,0.00687182115355137,0.145040787176893,0.627602980485441,15,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,RdDensWsRp100","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.551771553001761,-0.400255738626139,-0.323238373271197,0.186643979903136,0.172007317126555,0.166753523944611","-0.604947489512074,0.44076830813774,0.437099626613963,-0.259773626399863,0.247530880300065,-0.221419541082702",NA,NA,"PctIce2011Ws,RunoffWs,BFIWs,WtDepWs,ElevWs,RckDepWs",NA,"0.567744874104509,-0.518383039309865,0.403589103781616,0.306854876448599,0.249451235169717,-0.230531135018118",NA
"156","UNC",2,"mt","fourier",419,10473.9943163099,21785.9886326198,0.00801888163559719,0.15077228343045,0.639782608990982,10,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,RdDensWsRp100","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.551585375761989,-0.400746586586361,-0.321565128108601,0.187817078368089,0.173766470801554,0.166194445406258","-0.60364942259207,0.445044320256609,0.440521574423898,-0.263063315535197,0.24956815108468,-0.227640251083884",NA,NA,"RunoffWs,BFIWs,PctIce2011Ws,PctUrbHi2011WsRp100,PopDen2010Ws,RdDensWsRp100",NA,"-0.608664435054036,0.477078683240529,0.327064029598562,0.280015216403334,0.261739245803066,0.253031453480419",NA
"157","UNC",2,"pc","fourier",419,10394.6435642017,21627.2871284034,0.0989473780852923,0.245076925144509,0.741022497165587,18,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,WsAreaSqKm,PctAlluvCoastWs,RckDepWs","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.532241938137337,-0.392635972113198,-0.29675143060088,0.192711944716706,0.188391012649356,0.170600398509318","-0.599078166321294,0.445696350971255,0.434174046926791,-0.243388736418426,0.237010181868646,-0.230590697363485",NA,NA,"RdDensWsRp100,RunoffWs,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbHi2011WsRp100,PopDen2010Ws",NA,"-0.582062591426781,0.508055675263506,-0.500228997220241,-0.461205010119103,-0.455704008093971,-0.454443503869782",NA
"158","UNC",2,"hdr","fourier",419,10475.2893503658,21788.5787007316,0.0305631664857899,0.171632930735209,0.665442346537784,19,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,WsAreaSqKm","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.545139111532504,-0.399378849575428,-0.309832597845721,0.192415415219094,0.175064741085407,0.173952801548157","-0.601178862894434,0.445146021839705,0.444504962462444,-0.257640653444155,0.246719558936706,-0.232525662679209",NA,NA,"PctUrbMd2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbOp2011WsRp100,PctUrbHi2011WsRp100,RdDensWsRp100",NA,"-0.387257286659823,-0.377298159972589,-0.372362668572891,-0.369527925640585,-0.369450459981731,-0.361844582344024",NA
"159","UNC",2,"hd","fourier",419,10485.4133991299,21808.8267982598,0.0060395096559573,0.145184914289525,0.628708458599348,11,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,BFIWs","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.549442702468817,-0.397522428472525,-0.317645494691985,0.185202810339563,0.169341537051185,-0.164154436647898","-0.603079917374392,0.439846922062638,0.43770417900456,-0.257465962306771,0.246073629816876,-0.22101361292262",NA,NA,"PctIce2011Ws,RunoffWs,BFIWs,WtDepWs,ElevWs,PctUrbHi2011WsRp100",NA,"-0.521992063630988,0.520666184828872,-0.411795931189786,-0.27389567184215,-0.217985113395588,-0.204790512735319",NA
"160","UNC",2,"atpc","fourier",443,10362.0143486094,21610.0286972189,0.0949589309027084,0.253148803835774,0.742380451264561,10,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,RdDensWsRp100","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.547157377069276,-0.406418522205968,-0.32637665604026,0.193840294980423,0.18296038085193,0.164804160753982","-0.604689733061272,0.44435230472353,0.437518771838797,-0.250462130169602,0.242664130138813,-0.23037515348741",NA,NA,"PctIce2011Ws,RunoffWs,WtDepWs,BFIWs,ElevWs,RckDepWs","RdDensWsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100","0.633802056435709,-0.393768901194971,0.333036101009494,0.296899386230241,0.282236906467176,-0.276912922890886","-0.587626453893922,-0.507732076945255,-0.461254022079077,-0.455559413195966,-0.445805185225964,-0.442861788468421"
"161","UNC",2,"none","fourier",395,10512.8686364918,21815.7372729836,0.00575134163426038,0.142487074667121,0.629482362970225,19,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,WsAreaSqKm,BFIWs","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.542362878659225,-0.391355360389318,-0.304549199584461,0.183297765027212,0.167246588797603,-0.164686159829629","-0.600403723770471,0.438936886155904,0.437438430073188,-0.250224972259405,0.241928541798354,-0.220438777006515",NA,NA,NA,NA,NA,NA
"162","UNC",2,"at","no_seas",371,10591.9332739259,21925.8665478519,0.00504473616821063,0.129177025398321,0.624046576975726,10,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,RdDensWsRp100","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.568778327743727,-0.417600567741613,-0.356117595184616,0.195705152344368,0.19213127986183,0.186275042489659","-0.600392851680703,0.470037574686983,0.441654161438619,-0.283030683732444,0.262798465147225,-0.249959975303849",NA,NA,"BFIWs,PctIce2011Ws,RunoffWs,WsAreaSqKm,ElevWs,WtDepWs",NA,"0.635898493382819,0.490981942831824,-0.481126652843727,0.391367833834184,0.375111190092071,0.192741248798744",NA
"163","UNC",2,"mt","no_seas",371,10588.187761956,21918.3755239119,0.00335426222017799,0.136026585552689,0.641074109151686,10,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,RdDensWsRp100","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.562676355204619,-0.413748787352867,-0.344290168240482,0.194458246400143,0.188243135367476,0.177348158058306","-0.601343376661931,0.459453143889435,0.444140013608256,-0.269240232354801,0.254622400614627,-0.242502067581941",NA,NA,"BFIWs,RunoffWs,PctIce2011Ws,WsAreaSqKm,ElevWs,PctCrop2011Ws",NA,"0.637041914768183,-0.485396516926381,0.466465362803985,0.384351832065546,0.360488600886645,0.181743310130578",NA
