"date","at","at_anom_1900-99"
198207,15.3333333333333,-0.777777777777777
198208,16.2222222222222,0
198209,14.2777777777778,0.5
198210,9.5,0.166666666666666
198211,3.38888888888889,-1.38888888888889
198212,2.5,0.0555555555555562
198301,4.5,3
198302,5.5,2.22222222222222
198303,6.83333333333333,1.94444444444444
198304,8.05555555555556,0.555555555555555
198305,12.1111111111111,1.5
198306,12.8888888888889,-0.388888888888891
198307,15.1111111111111,-0.999999999999998
198308,16.6666666666667,0.444444444444443
198309,12.5,-1.27777777777778
198310,8.72222222222222,-0.611111111111111
198311,5.88888888888889,1.11111111111111
198312,-0.611111111111112,-3.05555555555556
198401,3.5,2
198402,4.61111111111111,1.33333333333333
198403,6.66666666666667,1.77777777777778
198404,6.66666666666667,-0.833333333333333
198405,9.11111111111111,-1.5
