"date","mt","mt_anom_1900.99"
198205,16.9722222222222,-0.111111111111111
198206,22,2.25000000000001
198207,21.3333333333333,-1.72222222222222
198208,22.6388888888889,-0.388888888888888
198209,20.1111111111111,0.194444444444445
198210,14.5555555555556,0.0833333333333337
198211,7.69444444444444,-1.25
198212,6.27777777777778,0.194444444444445
198301,8.41666666666666,3.11111111111111
198302,9.88888888888886,2.08333333333333
198303,12.0277777777778,1.83333333333333
198304,14.8055555555556,1.13888888888889
198305,18.7777777777778,1.69444444444445
198306,18.5,-1.25
198307,20.75,-2.30555555555555
198308,23.0555555555556,0.0277777777777785
198309,18.5277777777778,-1.38888888888889
198310,14.1111111111111,-0.36111111111111
198311,9.41666666666664,0.472222222222223
198312,2.97222222222222,-3.11111111111111
198401,7.44444444444444,2.13888888888889
198402,9.11111111111111,1.30555555555555
