"date","hd","hd_anom_1900.99"
198306,137.777777777777,6.66666666666669
198307,87.222222222222,18.8888888888889
198308,53.3333333333333,-13.6111111111111
198309,158.333333333333,31.9444444444444
198310,281.388888888889,21.6666666666667
198311,346.666666666667,-34.7222222222222
198312,563.888888888889,98.3333333333333
198401,435,-59.7222222222222
198402,361.111111111111,-37.7777777777778
198403,336.666666666667,-53.3333333333333
198404,319.166666666667,20
198405,256.666666666667,41.6666666666667
198406,151.666666666667,20.5555555555556
198407,64.4444444444445,-3.88888888888888
198408,61.6666666666667,-5.27777777777778
198409,136.944444444445,10.5555555555556
198410,305,45.2777777777778
198411,394.166666666667,12.7777777777778
198412,538.333333333333,72.7777777777778
198501,522.5,27.7777777777778
198502,443.333333333333,44.4444444444444
198503,421.111111111111,31.1111111111111
198504,296.666666666667,-2.5
