"date","hd","hd_anom_1900-99"
198307,70,13.8888888888889
198308,41.6666666666667,-14.4444444444444
198309,141.666666666667,28.3333333333333
198310,265,24.4444444444444
198311,320,-36.6666666666667
198312,540.555555555556,101.111111111111
198401,410,-58.3333333333334
198402,337.777777777778,-37.7777777777778
198403,311.666666666667,-51.1111111111111
198404,288.333333333333,14.4444444444445
198405,227.222222222222,37.2222222222222
198406,126.666666666667,17.2222222222222
198407,51.6666666666667,-4.44444444444444
198408,49.4444444444444,-6.66666666666666
198409,120.555555555556,7.22222222222221
198410,284.444444444444,43.8888888888889
198411,368.333333333333,11.6666666666667
198412,516.666666666667,77.2222222222223
198501,502.777777777778,34.4444444444445
198502,418.333333333333,42.7777777777778
198503,396.111111111111,33.3333333333334
198504,276.666666666667,2.77777777777777
198505,189.444444444444,-0.555555555555543
