"date","at","at_anom_1900.99"
195702,2.72222222222222,19.9444444444444
195703,5.63888888888889,22.8611111111111
195704,9,26.2222222222222
195705,13.2222222222222,30.4444444444444
195706,14.5555555555556,31.7777777777778
195707,15.4444444444444,32.6666666666667
195708,15.6666666666667,32.8888888888889
195709,16.3333333333333,33.5555555555556
195710,9.58333333333335,26.8055555555556
195711,5.02777777777778,22.25
195712,4.83333333333334,22.0555555555556
195801,4.83333333333333,22.0555555555556
195802,7.38888888888889,24.6111111111111
195803,5.58333333333333,22.8055555555556
195804,8.5,25.7222222222222
195805,14.3888888888889,31.6111111111111
195806,16.75,33.9722222222222
195807,19.6944444444444,36.9166666666667
195808,18.1388888888889,35.3611111111111
195809,14.3333333333333,31.5555555555556
195810,10.8611111111111,28.0833333333333
195811,4.88888888888889,22.1111111111111
195812,5.61111111111111,22.8333333333333
195901,3.08333333333333,20.3055555555556
195902,3.63888888888888,20.8611111111111
195903,5.44444444444444,22.6666666666667
195904,8.52777777777778,25.75
195905,10.6666666666667,27.8888888888889
195906,14.1944444444444,31.4166666666667
195907,17.3888888888889,34.6111111111111
195908,15.6666666666667,32.8888888888889
195909,13.1388888888889,30.3611111111111
195910,9.91666666666664,27.1388888888889
195911,4.94444444444444,22.1666666666667
195912,3.36111111111111,20.5833333333333
196001,1.86111111111111,19.0833333333333
196002,4.05555555555556,21.2777777777778
196003,5.30555555555556,22.5277777777778
196004,8.52777777777778,25.75
196005,10.3055555555556,27.5277777777778
196006,13.8611111111111,31.0833333333333
196007,17.6388888888889,34.8611111111111
196008,15.8055555555556,33.0277777777778
196009,13.6111111111111,30.8333333333333
196010,10.4444444444444,27.6666666666667
196011,5.16666666666667,22.3888888888889
196012,3,20.2222222222222
196101,4.88888888888889,22.1111111111111
196102,5.77777777777778,23
196103,6.27777777777778,23.5
196104,7.63888888888889,24.8611111111111
196105,11.2777777777778,28.5
196106,15.7777777777778,33
196107,17.8611111111111,35.0833333333333
196108,18.4444444444444,35.6666666666667
196109,13.2222222222222,30.4444444444444
196110,8.88888888888889,26.1111111111111
196111,3.91666666666667,21.1388888888889
196112,3,20.2222222222222
196201,2.13888888888889,19.3611111111111
196202,4.77777777777778,22
196203,4.41666666666667,21.6388888888889
196204,9.11111111111111,26.3333333333333
196205,9.47222222222223,26.6944444444444
196206,13.5,30.7222222222222
196207,15.9722222222222,33.1944444444444
196208,15.9444444444444,33.1666666666667
196209,14.5833333333333,31.8055555555556
196210,10.4444444444444,27.6666666666667
196211,6.75000000000001,23.9722222222222
196212,4.55555555555556,21.7777777777778
196301,-0.0555555555555545,17.1666666666667
196302,7.27777777777778,24.5
196303,5.36111111111111,22.5833333333333
196304,7.77777777777778,25
196305,11.7777777777778,29
196306,13.4166666666667,30.6388888888889
196307,15.3055555555556,32.5277777777778
196308,16.6388888888889,33.8611111111111
196309,16.2222222222222,33.4444444444444
196310,11.0555555555556,28.2777777777778
196311,6.02777777777778,23.25
196312,4.08333333333333,21.3055555555556
196401,3.80555555555555,21.0277777777778
196402,3.94444444444444,21.1666666666667
196403,5.05555555555556,22.2777777777778
196404,6.80555555555556,24.0277777777778
196405,9.94444444444443,27.1666666666667
196406,13.1111111111111,30.3333333333333
196407,15.8611111111111,33.0833333333333
196408,15.3888888888889,32.6111111111111
196409,13.1388888888889,30.3611111111111
196410,10.3055555555556,27.5277777777778
196411,4.16666666666667,21.3888888888889
196412,1.11111111111111,18.3333333333333
196501,2.75,19.9722222222222
196502,4.33333333333333,21.5555555555556
196503,5.75000000000001,22.9722222222222
196504,8.63888888888889,25.8611111111111
196505,9.77777777777778,27
196506,13.8611111111111,31.0833333333333
196507,17.4444444444444,34.6666666666667
196508,17.1944444444444,34.4166666666667
196509,13.0277777777778,30.25
196510,11.5555555555556,28.7777777777778
196511,7.55555555555555,24.7777777777778
196512,3,20.2222222222222
196601,3.02777777777778,20.25
196602,4.25,21.4722222222222
196603,5.58333333333333,22.8055555555556
196604,8.55555555555556,25.7777777777778
196605,11.0555555555556,28.2777777777778
196606,13.4166666666667,30.6388888888889
196607,15.6111111111111,32.8333333333333
196608,16.4444444444444,33.6666666666667
196609,15.1944444444444,32.4166666666667
196610,9.58333333333335,26.8055555555556
196611,6.33333333333333,23.5555555555556
196612,5.36111111111111,22.5833333333333
196701,4.25,21.4722222222222
196702,4.80555555555556,22.0277777777778
196703,4.30555555555556,21.5277777777778
196704,6.44444444444444,23.6666666666667
196705,11.2222222222222,28.4444444444444
196706,15.8888888888889,33.1111111111111
196707,16.9444444444444,34.1666666666667
196708,19.2222222222222,36.4444444444444
196709,16.4166666666667,33.6388888888889
196710,10.6388888888889,27.8611111111111
196711,6.36111111111111,23.5833333333333
196712,3.16666666666667,20.3888888888889
196801,2.94444444444444,20.1666666666667
196802,6.41666666666666,23.6388888888889
196803,7.13888888888889,24.3611111111111
196804,7.30555555555556,24.5277777777778
196805,11.5,28.7222222222222
196806,13.8055555555556,31.0277777777778
196807,17.5555555555556,34.7777777777778
196808,15.8055555555556,33.0277777777778
196809,14,31.2222222222222
196810,9.19444444444444,26.4166666666667
196811,6.16666666666667,23.3888888888889
196812,1.25,18.4722222222222
196901,-1.55555555555556,15.6666666666667
196902,3.08333333333333,20.3055555555556
196903,6.02777777777778,23.25
196904,7.94444444444444,25.1666666666667
196905,12.7777777777778,30
196906,16.4444444444444,33.6666666666667
196907,16.0277777777778,33.25
196908,15.2777777777778,32.5
196909,14.2222222222222,31.4444444444444
196910,9.22222222222222,26.4444444444444
196911,6.30555555555556,23.5277777777778
196912,4.66666666666667,21.8888888888889
197001,2.94444444444445,20.1666666666667
197002,6.16666666666667,23.3888888888889
197003,5.91666666666667,23.1388888888889
197004,6.61111111111111,23.8333333333333
197005,10.7222222222222,27.9444444444444
197006,15.3611111111111,32.5833333333333
197007,16.6666666666667,33.8888888888889
197008,16.3611111111111,33.5833333333333
197009,12.6388888888889,29.8611111111111
197010,8.80555555555556,26.0277777777778
197011,5.69444444444444,22.9166666666667
197012,2.25,19.4722222222222
197101,2.5,19.7222222222222
197102,3.97222222222222,21.1944444444444
197103,3.61111111111112,20.8333333333333
197104,7.58333333333333,24.8055555555556
197105,11.3055555555556,28.5277777777778
197106,12,29.2222222222222
197107,16.9166666666667,34.1388888888889
197108,18.1388888888889,35.3611111111111
197109,13.0277777777778,30.25
197110,8.72222222222222,25.9444444444444
197111,5.66666666666667,22.8888888888889
197112,1.55555555555556,18.7777777777778
197201,0.722222222222223,17.9444444444444
197202,3.61111111111111,20.8333333333333
197203,6.27777777777778,23.5
197204,6.13888888888889,23.3611111111111
197205,12.3888888888889,29.6111111111111
197206,13.6944444444444,30.9166666666667
197207,16.8333333333333,34.0555555555556
197208,17.3888888888889,34.6111111111111
197209,12.4444444444444,29.6666666666667
197210,8.58333333333333,25.8055555555556
197211,5.91666666666667,23.1388888888889
197212,1.33333333333334,18.5555555555556
197301,2.08333333333333,19.3055555555556
197302,4.83333333333333,22.0555555555556
197303,5.83333333333333,23.0555555555556
197304,8.08333333333333,25.3055555555556
197305,11.7777777777778,29
197306,13.5555555555556,30.7777777777778
197307,16.5555555555556,33.7777777777778
197308,14.9166666666667,32.1388888888889
