"date","mt","mt_anom_1900-99"
198206,22.7777777777778,2.33333333333334
198207,21.7777777777778,-1.66666666666667
198208,23.0555555555556,-0.333333333333329
198209,20.6111111111111,0.277777777777775
198210,15.2222222222222,0.111111111111112
198211,8.5,-1.33333333333333
198212,7.11111111111111,0.111111111111112
198301,9.33333333333333,3.11111111111111
198302,10.9444444444444,2.22222222222222
198303,13,1.94444444444444
198304,15.5,1.05555555555556
198305,19.4444444444444,1.61111111111111
198306,19.3888888888889,-1.05555555555556
198307,21.3888888888889,-2.05555555555556
198308,23.6111111111111,0.222222222222225
198309,19,-1.33333333333334
198310,14.5555555555556,-0.555555555555555
198311,10.4444444444444,0.611111111111111
198312,3.88888888888889,-3.11111111111111
198401,8.22222222222222,2
198402,10,1.27777777777778
198403,12.6666666666667,1.61111111111111
198404,13.5555555555556,-0.888888888888889
